epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,229,,0.06933315098285675,,31.852537155151367,,35.92994689941406,,,
,0.0001,0.0001,234,,,,,,,,,
0,,,234,,0.05632181093096733,,25.72416114807129,,32.383544921875,,,
,0.0001,0.0001,239,,,,,,,,,
0,,,239,,0.04618435353040695,,23.4866886138916,,29.32469940185547,,,
,0.0001,0.0001,244,,,,,,,,,
0,,,244,,0.042310312390327454,,23.834959030151367,,28.067852020263672,,,
,0.0001,0.0001,249,,,,,,,,,
0,,,249,,0.035879604518413544,,15.92879867553711,,25.846986770629883,,,
,0.0001,0.0001,254,,,,,,,,,
0,,,254,,0.038763076066970825,,22.75325584411621,,26.865520477294922,,,
,0.0001,0.0001,259,,,,,,,,,
0,,,259,,0.1018073707818985,,32.22138214111328,,44.293731689453125,,,
,0.0001,0.0001,264,,,,,,,,,
0,,,264,,0.04965587332844734,,26.445566177368164,,30.406850814819336,,,
,0.0001,0.0001,269,,,,,,,,,
0,,,269,,0.08422599732875824,,29.732742309570312,,39.727970123291016,,,
,0.0001,0.0001,274,,,,,,,,,
0,,,274,,0.04055739939212799,,20.520355224609375,,27.480276107788086,,,
,0.0001,0.0001,279,,,,,,,,,
0,,,279,,0.035176996141672134,,21.629859924316406,,25.592662811279297,,,
,0.0001,0.0001,284,,,,,,,,,
0,,,284,,0.06888595223426819,,28.297834396362305,,35.81388854980469,,,
,0.0001,0.0001,289,,,,,,,,,
0,,,289,,0.09483416378498077,,34.85755157470703,,42.021209716796875,,,
,0.0001,0.0001,294,,,,,,,,,
0,,,294,,0.02088957279920578,,15.460000038146973,,19.721996307373047,,,
,0.0001,0.0001,299,,,,,,,,,
0,,,299,,0.0411471389234066,,22.190832138061523,,27.679353713989258,,,
,0.0001,0.0001,304,,,,,,,,,
0,,,304,,0.026250731199979782,,17.058914184570312,,22.108379364013672,,,
,0.0001,0.0001,309,,,,,,,,,
0,,,309,,0.06513062119483948,,27.757644653320312,,34.823997497558594,,,
,0.0001,0.0001,314,,,,,,,,,
0,,,314,,0.04284510016441345,,24.07419204711914,,28.244680404663086,,,
,0.0001,0.0001,319,,,,,,,,,
0,,,319,,0.10277274996042252,,27.654977798461914,,47.14586639404297,,,
,0.0001,0.0001,324,,,,,,,,,
0,,,324,,0.029184997081756592,,18.471717834472656,,23.31127166748047,,,
,0.0001,0.0001,329,,,,,,,,,
0,,,329,,0.015651758760213852,,13.120607376098633,,17.07134246826172,,,
,0.0001,0.0001,334,,,,,,,,,
0,,,334,,0.02659405581653118,,15.347497940063477,,22.25247573852539,,,
,0.0001,0.0001,339,,,,,,,,,
0,,,339,,0.04003132879734039,,20.842945098876953,,27.30147361755371,,,
,0.0001,0.0001,344,,,,,,,,,
0,,,344,,0.06876099854707718,,28.250335693359375,,35.7813835144043,,,
,0.0001,0.0001,349,,,,,,,,,
0,,,349,,0.05491231381893158,,25.78127670288086,,31.975759506225586,,,
,0.0001,0.0001,354,,,,,,,,,
0,,,354,,0.036579497158527374,,18.91751480102539,,26.097862243652344,,,
,0.0001,0.0001,359,,,,,,,,,
0,,,359,,0.09320966899394989,,28.790061950683594,,41.957515716552734,,,
,0.0001,0.0001,364,,,,,,,,,
0,,,364,,0.03432368487119675,,19.602527618408203,,25.280349731445312,,,
,0.0001,0.0001,369,,,,,,,,,
0,,,369,,0.020075131207704544,,15.828253746032715,,19.33371925354004,,,
,0.0001,0.0001,374,,,,,,,,,
0,,,374,,0.09813199937343597,,32.46181869506836,,42.745601654052734,,,
,0.0001,0.0001,379,,,,,,,,,
0,,,379,,0.07460574805736542,,27.543935775756836,,37.27110290527344,,,
,0.0001,0.0001,384,,,,,,,,,
0,,,384,,0.05049616098403931,,26.691926956176758,,30.663042068481445,,,
,0.0001,0.0001,389,,,,,,,,,
0,,,389,,0.06691509485244751,,26.606243133544922,,35.2978401184082,,,
,0.0001,0.0001,394,,,,,,,,,
0,,,394,,0.10496395826339722,,37.08064270019531,,44.20854568481445,,,
,0.0001,0.0001,399,,,,,,,,,
0,,,399,,0.09596337378025055,,30.494728088378906,,43.61367416381836,,,
,0.0001,0.0001,404,,,,,,,,,
0,,,404,,0.04090207815170288,,20.70661163330078,,27.5968074798584,,,
,0.0001,0.0001,409,,,,,,,,,
0,,,409,,0.0786677896976471,,24.89775848388672,,38.27998733520508,,,
,0.0001,0.0001,414,,,,,,,,,
0,,,414,,0.05433114990592003,,25.775882720947266,,31.806110382080078,,,
,0.0001,0.0001,419,,,,,,,,,
